protocolo,unidade,dataset,fpr,tpr,limiar
C,paciente,breast,0.7662337662337663,0.9591836734693877,0.200876221120018
C,paciente,breast,0.7727272727272727,0.9591836734693877,0.2005344685497484
C,paciente,breast,0.7727272727272727,0.9693877551020408,0.1980636334323362
C,paciente,breast,0.7987012987012987,0.9693877551020408,0.1903027927001903
C,paciente,breast,0.7987012987012987,0.9795918367346939,0.1893717891547261
C,paciente,breast,0.8181818181818182,0.9795918367346939,0.1800314521872044
C,paciente,breast,0.8181818181818182,0.9897959183673469,0.1656274539007134
C,paciente,breast,0.8441558441558441,0.9897959183673469,0.14130900832846
C,paciente,breast,0.8441558441558441,1.0,0.1412270528914765
C,paciente,breast,1.0,1.0,0.0357129113351113
